drugname,rating,condition,class
Gianvi,8.904109589041095,Acne,B
TriNessa,8.821917808219178,Acne,B
Ethinyl estradiol / norgestimate,8.796059113300492,Acne,B
Epiduo Forte,8.538461538461538,Acne,B
BenzEFoam,8.5,Acne,B
Myorisan,8.5,Acne,B
Acticlate,8.333333333333334,Acne,B
Retin A Micro,8.333333333333334,Acne,B
TriNessa Lo,8.333333333333334,Acne,B
Benzoyl peroxide / salicylic acid,8.0,Acne,C
Dynacin,8.0,Acne,C
Sumadan,8.0,Acne,C
Ingenol,8.666666666666666,Actinic Keratosis,B
Tolak,8.0,Actinic Keratosis,C
Effient,9.0,Acute Coronary Syndrome,B
Prasugrel,9.0,Acute Coronary Syndrome,B
Ticagrelor,8.166666666666666,Acute Coronary Syndrome,B
Brilinta,8.0,Acute Coronary Syndrome,C
Gleevec,9.35,Acute Lymphoblastic Leukemia,A
Arsenic trioxide,9.0,Acute Promyelocytic Leukemia,B
Vesanoid,8.0,Acute Promyelocytic Leukemia,C
Decadron,9.0,Addison's Disease,B
Hydrocortone,8.0,Addison's Disease,C
Cortef,9.0,Adrenocortical Insufficiency,B
Norditropin,10.0,Adult Human Growth Hormone Deficiency,A
Omnitrope,10.0,Adult Human Growth Hormone Deficiency,A
Somatropin,9.583333333333334,Adult Human Growth Hormone Deficiency,A
Saizen,9.0,Adult Human Growth Hormone Deficiency,B
Abilify,9.018518518518519,Agitated State,A
Zyprexa Intramuscular,8.0,Agitation,C
Antabuse,9.6,Alcohol Dependence,A
Disulfiram,9.5,Alcohol Dependence,A
Campral,9.471264367816092,Alcohol Dependence,A
Acamprosate,9.444444444444445,Alcohol Dependence,A
Revia,9.333333333333334,Alcohol Dependence,A
Chlordiazepoxide,9.617283950617283,Alcohol Withdrawal,A
Librium,9.520547945205479,Alcohol Withdrawal,A
Baclofen,9.043859649122806,Alcohol Withdrawal,A
Serax,8.857142857142858,Alcohol Withdrawal,B
Lioresal,8.666666666666666,Alcohol Withdrawal,B
Dexchlorpheniramine,10.0,Allergic Reactions,A
EpiPen,10.0,Allergic Reactions,A
Chlor-Trimeton,9.5,Allergic Reactions,A
Acetaminophen / dexbrompheniramine / pseudoephedrine,10.0,Allergic Rhinitis,A
Allegra ODT,10.0,Allergic Rhinitis,A
Astelin,10.0,Allergic Rhinitis,A
Children's Claritin Allergy,10.0,Allergic Rhinitis,A
Chlorpheniramine / phenylephrine,10.0,Allergic Rhinitis,A
Clemastine,10.0,Allergic Rhinitis,A
Deconamine,10.0,Allergic Rhinitis,A
Diphenhydramine / phenylephrine,10.0,Allergic Rhinitis,A
Drixoral Cold / Flu,10.0,Allergic Rhinitis,A
R-Tanna,10.0,Allergic Rhinitis,A
Zyrtec-D 12 Hour,10.0,Allergic Rhinitis,A
Dexbrompheniramine / pseudoephedrine,9.942857142857143,Allergic Rhinitis,A
Kenalog-40,9.777777777777779,Allergic Rhinitis,A
Brompheniramine,9.666666666666666,Allergic Rhinitis,A
Nasacort AQ,9.666666666666666,Allergic Rhinitis,A
Omnaris,9.666666666666666,Allergic Rhinitis,A
Patanase,9.666666666666666,Allergic Rhinitis,A
Rhinocort,9.666666666666666,Allergic Rhinitis,A
Azelastine / fluticasone,9.653846153846153,Allergic Rhinitis,A
Nasacort,9.61111111111111,Allergic Rhinitis,A
Dymista,9.586206896551724,Allergic Rhinitis,A
Azelastine,9.583333333333334,Allergic Rhinitis,A
Cetirizine / pseudoephedrine,9.5,Allergic Rhinitis,A
Rhinocort Aqua,9.5,Allergic Rhinitis,A
Astepro,9.454545454545455,Allergic Rhinitis,A
Fexofenadine,9.395833333333334,Allergic Rhinitis,A
Fluticasone,9.352112676056338,Allergic Rhinitis,A
Nasacort Allergy 24HR,9.333333333333334,Allergic Rhinitis,A
Nasonex,9.263157894736842,Allergic Rhinitis,A
Xyzal,9.241935483870968,Allergic Rhinitis,A
Chlorpheniramine,9.210526315789474,Allergic Rhinitis,A
Loratadine,9.210526315789474,Allergic Rhinitis,A
Zyrtec,9.061224489795919,Allergic Rhinitis,A
All Day Allergy,9.0,Allergic Rhinitis,B
Allegra-D 12 Hour,9.0,Allergic Rhinitis,B
Beconase AQ,9.0,Allergic Rhinitis,B
Benadryl Allergy Sinus,9.0,Allergic Rhinitis,B
Carbinoxamine,9.0,Allergic Rhinitis,B
Clarinex,9.0,Allergic Rhinitis,B
Clarinex-D 12 Hour,9.0,Allergic Rhinitis,B
Claritin,9.0,Allergic Rhinitis,B
Desloratadine / pseudoephedrine,9.0,Allergic Rhinitis,B
Diphenhydramine / pseudoephedrine,9.0,Allergic Rhinitis,B
Flunisolide,9.0,Allergic Rhinitis,B
Nasarel,9.0,Allergic Rhinitis,B
Palgic,9.0,Allergic Rhinitis,B
QNASL,9.0,Allergic Rhinitis,B
Wal-finate,9.0,Allergic Rhinitis,B
Zyrtec-D,9.0,Allergic Rhinitis,B
Claritin-D 24 Hour,8.666666666666666,Allergic Rhinitis,B
Fexofenadine / pseudoephedrine,8.55,Allergic Rhinitis,B
Allegra-D 24 Hour,8.5,Allergic Rhinitis,B
Desloratadine,8.333333333333334,Allergic Rhinitis,B
Triprolidine,10.0,Allergies,A
Zymine,10.0,Allergies,A
Hyzine,8.0,Allergies,C
Rogaine Women's,10.0,Alopecia,A
Kenalog-10,9.777777777777779,Alopecia,A
Minoxidil,8.90625,Alopecia,B
Rogaine,8.2,Alopecia,B
Alpha 1-proteinase inhibitor,10.0,Alpha-1 Proteinase Inhibitor Deficiency,A
Prolastin-C,10.0,Alpha-1 Proteinase Inhibitor Deficiency,A
Zemaira,10.0,Alpha-1 Proteinase Inhibitor Deficiency,A
Razadyne ER,10.0,Alzheimer's Disease,A
Galantamine,9.0,Alzheimer's Disease,B
Exelon,8.5,Alzheimer's Disease,B
Namenda,8.5,Alzheimer's Disease,B
Rivastigmine,8.5,Alzheimer's Disease,B
Aricept,8.333333333333334,Alzheimer's Disease,B
Namenda XR,8.0,Alzheimer's Disease,C
Nitroglycerin,9.125,Anal Fissure and Fistula,A
Rectiv,8.333333333333334,Anal Fissure and Fistula,B
Temozolomide,9.285714285714286,Anaplastic Oligodendroglioma,A
Propecia,8.6,Androgenetic Alopecia,B
Ferralet 90,10.0,Anemia,A
Integra,10.0,Anemia,A
Oxymetholone,10.0,Anemia,A
Multivitamin with iron,9.25,Anemia,A
Epogen,9.0,Anemia,B
Integra F,9.0,Anemia,B
Maxaron Forte,8.0,Anemia,C
Aranesp,9.0,Anemia Associated with Chronic Renal Failure,B
Darbepoetin alfa,9.0,Anemia Associated with Chronic Renal Failure,B
Epoetin alfa,8.75,Anemia Associated with Chronic Renal Failure,B
Procrit,9.0,"Anemia, Chemotherapy Induced",B
Hydroxyurea,9.5,"Anemia, Sickle Cell",A
Ketalar,10.0,Anesthesia,A
Pentothal,10.0,Anesthesia,A
Thiopental,10.0,Anesthesia,A
Diprivan,9.75,Anesthesia,A
Emla,9.75,Anesthesia,A
Propofol,9.62987012987013,Anesthesia,A
Ketamine,9.571428571428571,Anesthesia,A
Lidocaine / prilocaine,8.8,Anesthesia,B
Lidoderm,8.619047619047619,Anesthesia,B
Ranolazine,9.416666666666666,Angina,A
Ranexa,9.277777777777779,Angina,A
Isosorbide dinitrate,9.0,Angina,B
Imdur,9.5,Angina Pectoris Prophylaxis,A
Enbrel,9.28448275862069,Ankylosing Spondylitis,A
Clinoril,9.25,Ankylosing Spondylitis,A
Cimzia,9.2,Ankylosing Spondylitis,A
Indocin SR,8.666666666666666,Ankylosing Spondylitis,B
Cyproheptadine,9.466666666666667,Anorexia,A
Dronabinol,9.347826086956522,Anorexia,A
Immune globulin intravenous,9.5,Anti NMDA Receptor Encephalitis,A
Alprazolam Intensol,10.0,Anxiety,A
Micrainin,10.0,Anxiety,A
Pexeva,10.0,Anxiety,A
Tranxene SD,10.0,Anxiety,A
Zetran,10.0,Anxiety,A
Diazepam Intensol,9.75,Anxiety,A
Stelazine,9.75,Anxiety,A
Xanax XR,9.588235294117647,Anxiety,A
Amitriptyline / perphenazine,9.5,Anxiety,A
Limbitrol DS,9.5,Anxiety,A
Triavil,9.5,Anxiety,A
Diazepam,9.477508650519031,Anxiety,A
Propranolol,9.440506329113925,Anxiety,A
Clorazepate,9.411764705882353,Anxiety,A
Ativan,9.39344262295082,Anxiety,A
Trifluoperazine,9.333333333333334,Anxiety,A
Tranxene,9.25,Anxiety,A
Oxazepam,9.03448275862069,Anxiety,A
BuSpar,9.019354838709678,Anxiety,A
Meprobamate,9.0,Anxiety,B
Miltown,9.0,Anxiety,B
Remeron,8.967032967032967,Anxiety,B
Mirtazapine,8.954301075268818,Anxiety,B
Phenytoin,8.9,Anxiety,B
Buspirone,8.88345864661654,Anxiety,B
Vistaril,8.754098360655737,Anxiety,B
Atarax,8.74468085106383,Anxiety,B
Hydroxyzine,8.735177865612648,Anxiety,B
Tenormin,8.692307692307692,Anxiety,B
Prozac,9.039772727272727,Anxiety and Stress,A
Kava,9.0,Anxiety and Stress,B
Citalopram,8.993455497382199,Anxiety and Stress,B
Fluvoxamine,8.963414634146341,Anxiety and Stress,B
Orajel,7.0,Aphthous Ulce,C
Mexitil,10.0,Arrhythmia,A
Pacerone,10.0,Arrhythmia,A
Tikosyn,9.181818181818182,Arrhythmia,A
Dofetilide,9.041666666666666,Arrhythmia,A
Mexiletine,9.0,Arrhythmia,B
Norpace CR,9.0,Arrhythmia,B
Amiodarone,8.8,Arrhythmia,B
Disopyramide,8.25,Arrhythmia,B
Cordarone,8.0,Arrhythmia,C
Norpace,8.0,Arrhythmia,C
Quinidine,8.0,Arrhythmia,C
Aristocort,10.0,Asthma,A
Azmacort,10.0,Asthma,A
Ipratropium Inhalation Solution,10.0,Asthma,A
Mepolizumab,10.0,Asthma,A
Nucala,10.0,Asthma,A
Breo Ellipta,9.483870967741936,Asthma,A
Singulair,9.433333333333334,Asthma,A
Montelukast,9.25,Asthma,A
Prednisone,9.246696035242291,Asthma,A
Atrovent,9.2,Asthma,A
Dexamethasone,9.030303030303031,Asthma,A
Dulera,8.909090909090908,Asthma,B
Cinqair,8.0,Asthma,C
Reslizumab,8.0,Asthma,C
Accolate,10.0,"Asthma, Maintenance",A
Intal Inhaler,10.0,"Asthma, Maintenance",A
Metaproterenol,10.0,"Asthma, Maintenance",A
Pulmicort Respules,10.0,"Asthma, Maintenance",A
Zafirlukast,10.0,"Asthma, Maintenance",A
Cromolyn,9.875,"Asthma, Maintenance",A
Flovent HFA,9.666666666666666,"Asthma, Maintenance",A
Pulmicort Flexhaler,9.666666666666666,"Asthma, Maintenance",A
Xolair,9.660377358490566,"Asthma, Maintenance",A
Omalizumab,9.63076923076923,"Asthma, Maintenance",A
Asmanex Twisthaler,9.6,"Asthma, Maintenance",A
Symbicort,9.517857142857142,"Asthma, Maintenance",A
Alupent,9.5,"Asthma, Maintenance",A
Flovent,9.5,"Asthma, Maintenance",A
Theo-24,9.5,"Asthma, Maintenance",A
Fluticasone / vilanterol,9.483870967741936,"Asthma, Maintenance",A
Theophylline,9.428571428571429,"Asthma, Maintenance",A
Advair HFA,9.333333333333334,"Asthma, Maintenance",A
Uniphyl,9.333333333333334,"Asthma, Maintenance",A
Fluticasone / salmeterol,9.16,"Asthma, Maintenance",A
AirDuo Respiclick,9.0,"Asthma, Maintenance",B
Alvesco,9.0,"Asthma, Maintenance",B
Arnuity Ellipta,9.0,"Asthma, Maintenance",B
Ciclesonide,9.0,"Asthma, Maintenance",B
Maxair,9.0,"Asthma, Maintenance",B
Maxair Autohaler,9.0,"Asthma, Maintenance",B
Pirbuterol,9.0,"Asthma, Maintenance",B
Beclomethasone,8.863636363636363,"Asthma, Maintenance",B
Qvar,8.8,"Asthma, Maintenance",B
Proventil HFA,8.75,"Asthma, Maintenance",B
Proventil,8.333333333333334,"Asthma, Maintenance",B
Pulmicort Turbuhaler,8.333333333333334,"Asthma, Maintenance",B
Xopenex,9.444444444444445,"Asthma, acute",A
Epinephrine,9.428571428571429,"Asthma, acute",A
Racepinephrine,9.333333333333334,"Asthma, acute",A
Xopenex HFA,9.333333333333334,"Asthma, acute",A
Ventolin,9.285714285714286,"Asthma, acute",A
Asthmanefrin,9.25,"Asthma, acute",A
Prednisolone,8.88888888888889,"Asthma, acute",B
Albuterol,8.75,"Asthma, acute",B
Sodium bicarbonate,10.0,Asystole,A
Capex,10.0,Atopic Dermatitis,A
Olux-E,10.0,Atopic Dermatitis,A
Elocon,9.857142857142858,Atopic Dermatitis,A
Protopic,9.714285714285714,Atopic Dermatitis,A
Triamcinolone,9.658536585365853,Atopic Dermatitis,A
Medrol Dosepak,9.571428571428571,Atopic Dermatitis,A
Cloderm,9.5,Atopic Dermatitis,A
Crisaborole,9.25,Atopic Dermatitis,A
Eucrisa,9.25,Atopic Dermatitis,A
Tacrolimus,9.051282051282051,Atopic Dermatitis,A
Diprolene AF,9.0,Atopic Dermatitis,B
Kenalog,9.0,Atopic Dermatitis,B
Digoxin,10.0,Atrial Fibrillation,A
Dilt-XR,10.0,Atrial Fibrillation,A
Lanoxicaps,10.0,Atrial Fibrillation,A
Sotalol Hydrochloride AF,10.0,Atrial Fibrillation,A
Tiazac,10.0,Atrial Fibrillation,A
Flecainide,9.340425531914894,Atrial Fibrillation,A
Diltiazem,9.294117647058824,Atrial Fibrillation,A
Rythmol SR,9.285714285714286,Atrial Fibrillation,A
Carvedilol,9.243243243243244,Atrial Fibrillation,A
Sotalol,9.210526315789474,Atrial Fibrillation,A
Multaq,9.142857142857142,Atrial Fibrillation,A
Dronedarone,9.083333333333334,Atrial Fibrillation,A
Propafenone,9.035714285714286,Atrial Fibrillation,A
Rythmol,9.0,Atrial Fibrillation,B
Xarelto,8.851063829787234,Atrial Fibrillation,B
Metoprolol,8.643939393939394,Atrial Fibrillation,B
Cardizem LA,8.0,Atrial Fibrillation,C
Tambocor,9.285714285714286,Atrial Flutte,A
Cardizem,9.2,Atrial Flutte,A
Vagifem,9.5,Atrophic Vaginitis,A
Estradiol,9.308823529411764,Atrophic Vaginitis,A
Estring,9.214285714285714,Atrophic Vaginitis,A
Yuvafem,8.5,Atrophic Vaginitis,B
Purinethol,10.0,Autoimmune Hepatitis,A
Vitamin B12,10.0,B12 Nutritional Deficiency,A
Ansaid,10.0,Back Pain,A
Oruvail,10.0,Back Pain,A
Xodol,10.0,Back Pain,A
Acetaminophen / pamabrom,9.75,Back Pain,A
Aleve,9.375,Back Pain,A
Lorcet 10 / 650,9.363636363636363,Back Pain,A
Aspirin,9.222222222222221,Back Pain,A
Anaprox,9.0,Back Pain,B
Bayer Aspirin,9.0,Back Pain,B
Nabumetone,8.692307692307692,Back Pain,B
Ultram,8.674418604651162,Back Pain,B
Ryzolt,8.6,Back Pain,B
Acetaminophen / aspirin,8.0,Back Pain,C
Chloramphenicol,10.0,Bacterial Infection,A
Lincocin,10.0,Bacterial Infection,A
Lincomycin,10.0,Bacterial Infection,A
Ceftriaxone,9.568181818181818,Bacterial Infection,A
Penicillin v potassium,9.363636363636363,Bacterial Infection,A
Clindamycin,9.0,Bacterial Infection,B
Penicillin g benzathine,9.0,Bacterial Infection,B
Vancomycin,8.666666666666666,Bacterial Infection,B
Flagyl IV,7.0,Bacterial Infection,C
A + D Cracked Skin Relief,10.0,Bacterial Skin Infection,A
Bacitracin / neomycin / polymyxin b / pramoxine,10.0,Bacterial Skin Infection,A
Bacitracin / polymyxin b,10.0,Bacterial Skin Infection,A
Benzalkonium chloride / lidocaine,10.0,Bacterial Skin Infection,A
Polysporin First Aid Antibiotic Ointment,10.0,Bacterial Skin Infection,A
Triple Antibiotic,10.0,Bacterial Skin Infection,A
Co-trimoxazole,8.0,Bacterial Skin Infection,C
Clindamax,10.0,Bacterial Vaginitis,A
Clindesse,10.0,Bacterial Vaginitis,A
Vandazole,10.0,Bacterial Vaginitis,A
Cleocin Ovules,9.5,Bacterial Vaginitis,A
MetroGel-Vaginal,9.272727272727273,Bacterial Vaginitis,A
Metronidazole,8.763066202090592,Bacterial Vaginitis,B
Tinidazole,8.7,Bacterial Vaginitis,B
Tindamax,8.625,Bacterial Vaginitis,B
Flagyl ER,8.333333333333334,Bacterial Vaginitis,B
Protonix IV,9.666666666666666,Barrett's Esophagus,A
Lansoprazole,9.428571428571429,Barrett's Esophagus,A
Rifampin,9.25,Bartonellosis,A
Imiquimod,8.761467889908257,Basal Cell Carcinoma,B
Primidone,8.761904761904763,Benign Essential Trem,B
Cardura XL,10.0,Benign Prostatic Hyperplasia,A
Proscar,10.0,Benign Prostatic Hyperplasia,A
Cialis,9.447698744769875,Benign Prostatic Hyperplasia,A
Terazosin,9.117647058823529,Benign Prostatic Hyperplasia,A
Avodart,9.083333333333334,Benign Prostatic Hyperplasia,A
Hytrin,9.0,Benign Prostatic Hyperplasia,B
Saw palmetto,9.0,Benign Prostatic Hyperplasia,B
Tamsulosin,8.988505747126437,Benign Prostatic Hyperplasia,B
Dutasteride,8.823529411764707,Benign Prostatic Hyperplasia,B
Cardura,8.666666666666666,Benign Prostatic Hyperplasia,B
Finasteride,8.633333333333333,Benign Prostatic Hyperplasia,B
Dutasteride / tamsulosin,8.571428571428571,Benign Prostatic Hyperplasia,B
Silodosin,8.466666666666667,Benign Prostatic Hyperplasia,B
Rapaflo,8.441176470588236,Benign Prostatic Hyperplasia,B
Jalyn,8.333333333333334,Benign Prostatic Hyperplasia,B
Uroxatral,8.285714285714286,Benign Prostatic Hyperplasia,B
Urso,10.0,Biliary Cirrhosis,A
Urso Forte,10.0,Biliary Cirrhosis,A
Ursodiol,9.5,Biliary Cirrhosis,A
Eskalith-CR,10.0,Bipolar Disorde,A
Tiagabine,10.0,Bipolar Disorde,A
Eskalith,9.5,Bipolar Disorde,A
Lamictal,9.327137546468402,Bipolar Disorde,A
Lamotrigine,9.306722689075631,Bipolar Disorde,A
Cariprazine,9.255813953488373,Bipolar Disorde,A
Lithobid,9.25,Bipolar Disorde,A
Iloperidone,9.1875,Bipolar Disorde,A
Trileptal,9.117647058823529,Bipolar Disorde,A
Seroquel XR,9.10989010989011,Bipolar Disorde,A
Vraylar,9.029411764705882,Bipolar Disorde,A
Depakene,9.0,Bipolar Disorde,B
Lamictal ODT,9.0,Bipolar Disorde,B
Tegretol,9.0,Bipolar Disorde,B
Saphris,8.992248062015504,Bipolar Disorde,B
Lithium,8.977611940298507,Bipolar Disorde,B
Latuda,8.976525821596244,Bipolar Disorde,B
Quetiapine,8.973377703826955,Bipolar Disorde,B
Aripiprazole,8.946127946127946,Bipolar Disorde,B
Geodon,8.882978723404255,Bipolar Disorde,B
Olanzapine,8.798780487804878,Bipolar Disorde,B
Ziprasidone,8.795918367346939,Bipolar Disorde,B
Fluoxetine / olanzapine,8.794871794871796,Bipolar Disorde,B
Symbyax,8.771428571428572,Bipolar Disorde,B
Divalproex sodium,8.691780821917808,Bipolar Disorde,B
Depakote ER,8.666666666666666,Bipolar Disorde,B
Valproic acid,8.636363636363637,Bipolar Disorde,B
Zyprexa Zydis,8.5,Bipolar Disorde,B
Invega,8.461538461538462,Bipolar Disorde,B
Risperdal Consta,8.2,Bipolar Disorde,B
Equetro,7.0,Bipolar Disorde,C
Balziva,10.0,Birth Control,A
Cyclessa,10.0,Birth Control,A
Depo-Provera Contraceptive,10.0,Birth Control,A
Elinest,10.0,Birth Control,A
Gildess 1.5 / 30,10.0,Birth Control,A
Juleber,10.0,Birth Control,A
Junel 1.5 / 30,10.0,Birth Control,A
Pimtrea,10.0,Birth Control,A
Zenchent,10.0,Birth Control,A
Heather,9.75,Birth Control,A
Trivora,9.75,Birth Control,A
Lybrel,9.666666666666666,Birth Control,A
Mono-Linyah,9.666666666666666,Birth Control,A
Zovia 1 / 35,9.666666666666666,Birth Control,A
Vienva,9.4,Birth Control,A
Junel 1 / 20,9.333333333333334,Birth Control,A
Tri-Lo-Sprintec,9.333333333333334,Birth Control,A
Taytulla,9.277777777777779,Birth Control,A
Levonorgestrel,9.259535981124657,Birth Control,A
Ortho-Novum 1 / 35,9.25,Birth Control,A
Ortho-Novum 7 / 7 / 7,9.25,Birth Control,A
Aubra,9.216216216216216,Birth Control,A
ParaGard,9.200892857142858,Birth Control,A
Zarah,9.176470588235293,Birth Control,A
Copper,9.158018867924529,Birth Control,A
Loryna,9.157894736842104,Birth Control,A
Mirena,9.097661623108666,Birth Control,A
Minastrin 24 Fe,9.080645161290322,Birth Control,A
Chateal,9.075471698113208,Birth Control,A
Orsythia,9.046153846153846,Birth Control,A
Ortho Cyclen,9.045454545454545,Birth Control,A
Ortho Evra,9.024691358024691,Birth Control,A
Seasonique,9.011363636363637,Birth Control,A
Alyacen 1 / 35,9.0,Birth Control,B
Ashlyna,9.0,Birth Control,B
Ethinyl estradiol / folic acid / levonorgestrel,9.0,Birth Control,B
Gildess 1 / 20,9.0,Birth Control,B
Junel Fe 24,9.0,Birth Control,B
Lessina,9.0,Birth Control,B
Mononessa,9.0,Birth Control,B
Nortrel 7 / 7 / 7,9.0,Birth Control,B
Portia,9.0,Birth Control,B
Seasonale,9.0,Birth Control,B
Tri-Linyah,9.0,Birth Control,B
Skyla,8.982238010657193,Birth Control,B
Cryselle,8.956521739130435,Birth Control,B
Lyza,8.956521739130435,Birth Control,B
Drospirenone / ethinyl estradiol,8.954166666666667,Birth Control,B
Implanon,8.953405017921147,Birth Control,B
Kyleena,8.94392523364486,Birth Control,B
NuvaRing,8.940217391304348,Birth Control,B
Etonogestrel,8.93168880455408,Birth Control,B
Yaz,8.928571428571429,Birth Control,B
Beyaz,8.915254237288135,Birth Control,B
Ethinyl estradiol / etonogestrel,8.910326086956522,Birth Control,B
Desogen,8.909090909090908,Birth Control,B
Nexplanon,8.904137235116044,Birth Control,B
Levora,8.901639344262295,Birth Control,B
Junel Fe 1.5 / 30,8.9,Birth Control,B
Lutera,8.898305084745763,Birth Control,B
Ethinyl estradiol / levonorgestrel,8.897793263646923,Birth Control,B
Generess Fe,8.893939393939394,Birth Control,B
Depo-Provera,8.883116883116884,Birth Control,B
Norethindrone,8.883040935672515,Birth Control,B
Ortho Micronor,8.870967741935484,Birth Control,B
Lo Loestrin Fe,8.862258953168045,Birth Control,B
Aviane,8.86111111111111,Birth Control,B
Drospirenone / ethinyl estradiol / levomefolate calcium,8.86046511627907,Birth Control,B
Ortho-Cept,8.857142857142858,Birth Control,B
Ethinyl estradiol / norethindrone,8.855606758832565,Birth Control,B
Ortho Tri-Cyclen,8.846153846153847,Birth Control,B
Ethinyl estradiol / norelgestromin,8.833333333333334,Birth Control,B
Ethinyl estradiol / norgestrel,8.82857142857143,Birth Control,B
Blisovi Fe 1 / 20,8.818181818181818,Birth Control,B
Desogestrel / ethinyl estradiol,8.816239316239317,Birth Control,B
Kariva,8.814814814814815,Birth Control,B
Sronyx,8.805555555555555,Birth Control,B
Gildess Fe 1 / 20,8.803571428571429,Birth Control,B
Amethia,8.8,Birth Control,B
Zovia,8.8,Birth Control,B
Loestrin 24 Fe,8.792792792792794,Birth Control,B
Apri,8.782608695652174,Birth Control,B
Microgestin Fe 1 / 20,8.780898876404494,Birth Control,B
Ethinyl estradiol / ethynodiol,8.777777777777779,Birth Control,B
Lo / Ovral-28,8.75,Birth Control,B
Sharobel,8.75,Birth Control,B
Junel Fe 1 / 20,8.744897959183673,Birth Control,B
